timestamp,substrate_temp_c
2026-05-25 22:42:55.431,22.75
2026-05-25 22:43:01.337,22.75
2026-05-25 22:43:07.243,22.6875
2026-05-25 22:43:13.148,22.75
2026-05-25 22:43:19.052,22.6875
2026-05-25 22:43:24.955,22.6875
2026-05-25 22:43:30.861,22.6875
2026-05-25 22:43:36.765,22.6875
2026-05-25 22:43:42.671,22.6875
2026-05-25 22:43:48.577,22.6875
2026-05-25 22:43:54.483,22.6875
2026-05-25 22:44:00.387,22.6875
2026-05-25 22:44:06.291,22.6875
2026-05-25 22:44:12.195,22.6875
2026-05-25 22:44:18.099,22.6875
2026-05-25 22:44:24.002,22.6875
2026-05-25 22:44:29.906,22.6875
2026-05-25 22:44:35.813,22.6875
2026-05-25 22:44:41.719,22.6875
2026-05-25 22:44:47.624,22.6875
2026-05-25 22:44:53.530,22.6875
2026-05-25 22:44:59.436,22.6875
2026-05-25 22:45:05.345,22.75
2026-05-25 22:45:11.248,22.75
2026-05-25 22:45:17.152,22.75
2026-05-25 22:45:23.057,22.75
2026-05-25 22:45:28.961,22.6875
2026-05-25 22:45:34.868,22.6875
2026-05-25 22:45:40.772,22.6875
2026-05-25 22:45:46.678,22.75
2026-05-25 22:45:52.584,22.6875
2026-05-25 22:45:58.490,22.75
2026-05-25 22:46:04.397,22.6875
2026-05-25 22:46:10.300,22.6875
2026-05-25 22:46:16.204,22.75
2026-05-25 22:46:22.108,22.75
2026-05-25 22:46:28.013,22.75
2026-05-25 22:46:33.916,22.6875
2026-05-25 22:46:39.820,22.75
2026-05-25 22:46:45.726,22.6875
2026-05-25 22:46:51.630,22.75
2026-05-25 22:46:57.536,22.75
2026-05-25 22:47:03.442,22.75
2026-05-25 22:47:09.346,22.75
2026-05-25 22:47:15.252,22.75
2026-05-25 22:47:21.157,22.75
2026-05-25 22:47:27.062,22.75
2026-05-25 22:47:32.966,22.75
2026-05-25 22:47:38.871,22.75
2026-05-25 22:47:44.777,22.6875
2026-05-25 22:47:50.683,22.6875
2026-05-25 22:47:56.590,22.75
2026-05-25 22:48:02.494,22.75
2026-05-25 22:48:08.397,22.75
2026-05-25 22:48:14.303,22.75
2026-05-25 22:48:20.209,22.6875
