timestamp,soil_vwc_percent
2026-05-24 22:32:45.989,73.84
2026-05-24 22:32:50.990,73.75
2026-05-24 22:32:55.990,73.84
2026-05-24 22:33:00.991,73.84
2026-05-24 22:33:05.993,73.84
2026-05-24 22:33:10.993,73.75
2026-05-24 22:33:15.994,73.91
2026-05-24 22:33:20.994,73.84
2026-05-24 22:33:25.995,73.84
2026-05-24 22:33:30.996,73.75
2026-05-24 22:33:35.997,73.84
2026-05-24 22:33:40.998,74.0
2026-05-24 22:33:46.010,73.91
2026-05-24 22:33:51.012,73.75
2026-05-24 22:33:56.013,73.84
2026-05-24 22:34:01.014,73.84
2026-05-24 22:34:06.015,73.84
2026-05-24 22:34:11.016,73.84
2026-05-24 22:34:16.016,73.84
2026-05-24 22:34:21.017,73.84
2026-05-24 22:34:26.018,73.75
2026-05-24 22:34:31.019,73.84
2026-05-24 22:34:36.020,73.84
2026-05-24 22:34:41.020,73.91
2026-05-24 22:34:46.021,73.91
2026-05-24 22:34:51.022,73.84
2026-05-24 22:34:56.022,73.91
2026-05-24 22:35:01.024,73.91
2026-05-24 22:35:06.024,73.84
2026-05-24 22:35:11.025,73.91
2026-05-24 22:35:16.026,73.84
2026-05-24 22:35:21.026,73.91
2026-05-24 22:35:26.027,73.84
2026-05-24 22:35:31.028,73.84
2026-05-24 22:35:36.029,73.84
2026-05-24 22:35:41.030,73.84
2026-05-24 22:35:46.030,73.91
2026-05-24 22:35:51.031,73.84
2026-05-24 22:35:56.031,73.75
2026-05-24 22:36:01.033,73.84
2026-05-24 22:36:06.034,73.84
2026-05-24 22:36:11.034,73.84
2026-05-24 22:36:16.035,73.84
2026-05-24 22:36:21.035,73.84
2026-05-24 22:36:26.037,73.91
2026-05-24 22:36:31.038,73.91
2026-05-24 22:36:36.038,73.75
2026-05-24 22:36:41.039,73.84
2026-05-24 22:36:46.039,73.84
2026-05-24 22:36:51.040,74.0
2026-05-24 22:36:56.042,73.84
2026-05-24 22:37:01.042,73.84
2026-05-24 22:37:06.043,73.91
2026-05-24 22:37:11.043,73.75
2026-05-24 22:37:16.044,73.75
2026-05-24 22:37:21.045,73.75
2026-05-24 22:37:26.046,73.75
2026-05-24 22:37:31.047,73.75
2026-05-24 22:37:36.047,73.84
2026-05-24 22:37:41.048,73.75
2026-05-24 22:37:46.049,73.91
