time,ens_eco2_ppm
2026-05-25T22:11:20.2090000,432
2026-05-25T22:11:21.2490000,440
2026-05-25T22:11:22.2900000,451
2026-05-25T22:11:23.3310000,435
2026-05-25T22:11:24.3820000,440
2026-05-25T22:11:25.4230000,440
2026-05-25T22:11:26.4640000,439
2026-05-25T22:11:27.5040000,458
2026-05-25T22:11:28.5450000,439
2026-05-25T22:11:29.5960000,448
2026-05-25T22:11:30.6330000,447
2026-05-25T22:11:31.6740000,432
2026-05-25T22:11:32.7150000,447
2026-05-25T22:11:33.7660000,439
2026-05-25T22:11:34.8070000,438
2026-05-25T22:11:35.8480000,440
2026-05-25T22:11:36.8890000,448
2026-05-25T22:11:37.9290000,446
2026-05-25T22:11:38.9810000,456
2026-05-25T22:11:40.0210000,447
2026-05-25T22:11:41.0620000,442
2026-05-25T22:11:42.1030000,442
2026-05-25T22:11:43.1440000,455
2026-05-25T22:11:44.1850000,449
2026-05-25T22:11:45.2360000,431
2026-05-25T22:11:46.2770000,439
2026-05-25T22:11:47.3170000,439
2026-05-25T22:11:48.3580000,451
2026-05-25T22:11:49.3990000,455
2026-05-25T22:11:50.4500000,449
2026-05-25T22:11:51.4910000,437
2026-05-25T22:11:52.5320000,445
2026-05-25T22:11:53.5720000,459
2026-05-25T22:11:54.6130000,457
2026-05-25T22:11:55.6540000,448
2026-05-25T22:11:56.7050000,436
2026-05-25T22:11:57.7390000,454
2026-05-25T22:11:58.7900000,447
2026-05-25T22:11:59.8310000,450
2026-05-25T22:12:00.8720000,435
2026-05-25T22:12:01.9130000,445
2026-05-25T22:12:02.9540000,451
2026-05-25T22:12:03.9940000,442
2026-05-25T22:12:05.0460000,427
2026-05-25T22:12:06.0860000,439
2026-05-25T22:12:07.1270000,441
2026-05-25T22:12:08.1680000,427
2026-05-25T22:12:09.2090000,459
2026-05-25T22:12:10.2500000,451
2026-05-25T22:12:11.3010000,454
2026-05-25T22:12:12.3420000,448
2026-05-25T22:12:13.3830000,451
2026-05-25T22:12:14.4240000,462
2026-05-25T22:12:15.4640000,455
2026-05-25T22:12:16.5050000,449
2026-05-25T22:12:17.5560000,442
2026-05-25T22:12:18.5970000,445
2026-05-25T22:12:19.6380000,442
2026-05-25T22:12:20.6790000,430
2026-05-25T22:12:21.7190000,447
2026-05-25T22:12:22.7600000,444
2026-05-25T22:12:23.8120000,432
2026-05-25T22:12:24.8520000,446
2026-05-25T22:12:25.8930000,449
2026-05-25T22:12:26.9340000,441
