time,ens_eco2_ppm
2026-05-25T12:01:05.0600000,503
2026-05-25T12:01:06.1010000,489
2026-05-25T12:01:07.1420000,499
2026-05-25T12:01:08.1820000,481
2026-05-25T12:01:09.2340000,486
2026-05-25T12:01:10.2740000,489
2026-05-25T12:01:11.3150000,491
2026-05-25T12:01:12.3560000,487
2026-05-25T12:01:13.3970000,494
2026-05-25T12:01:14.4380000,485
2026-05-25T12:01:15.4890000,477
2026-05-25T12:01:16.5330000,480
2026-05-25T12:01:17.5740000,483
2026-05-25T12:01:18.6150000,496
2026-05-25T12:01:19.6560000,505
2026-05-25T12:01:20.6970000,486
2026-05-25T12:01:21.7370000,490
2026-05-25T12:01:22.7880000,489
2026-05-25T12:01:23.8290000,504
2026-05-25T12:01:24.8700000,487
2026-05-25T12:01:25.9100000,488
2026-05-25T12:01:26.9510000,488
2026-05-25T12:01:28.0020000,482
2026-05-25T12:01:29.0430000,494
2026-05-25T12:01:30.0870000,482
2026-05-25T12:01:31.1280000,482
2026-05-25T12:01:32.1690000,489
2026-05-25T12:01:33.2100000,492
2026-05-25T12:01:34.2510000,498
2026-05-25T12:01:35.2910000,492
2026-05-25T12:01:36.3430000,498
2026-05-25T12:01:37.3840000,481
2026-05-25T12:01:38.4250000,479
2026-05-25T12:01:39.4650000,510
2026-05-25T12:01:40.5060000,499
2026-05-25T12:01:41.5570000,485
2026-05-25T12:01:42.5980000,488
2026-05-25T12:01:43.6430000,486
2026-05-25T12:01:44.6830000,505
2026-05-25T12:01:45.7240000,497
2026-05-25T12:01:46.7650000,477
2026-05-25T12:01:47.8060000,495
2026-05-25T12:01:48.8460000,484
2026-05-25T12:01:49.8980000,486
2026-05-25T12:01:50.9380000,491
2026-05-25T12:01:51.9790000,478
2026-05-25T12:01:53.0200000,497
2026-05-25T12:01:54.0610000,482
2026-05-25T12:01:55.1120000,497
2026-05-25T12:01:56.1530000,488
2026-05-25T12:01:57.1940000,496
2026-05-25T12:01:58.2410000,490
2026-05-25T12:01:59.2820000,500
2026-05-25T12:02:00.3230000,485
2026-05-25T12:02:01.3640000,476
2026-05-25T12:02:02.4040000,490
2026-05-25T12:02:03.4450000,487
2026-05-25T12:02:04.4970000,480
2026-05-25T12:02:05.5370000,492
2026-05-25T12:02:06.5780000,481
2026-05-25T12:02:07.6190000,500
2026-05-25T12:02:08.6600000,491
2026-05-25T12:02:09.7110000,467
2026-05-25T12:02:10.7520000,482
2026-05-25T12:02:11.7920000,490
2026-05-25T12:02:12.8330000,493
2026-05-25T12:02:13.8740000,484
2026-05-25T12:02:14.9150000,500
2026-05-25T12:02:15.9660000,501
2026-05-25T12:02:17.0070000,494
2026-05-25T12:02:18.0480000,481
