Time,09C00 Aranet4  Temperature (°C) [09C00],09C05 Aranet4  Temperature (°C) [09C05],09C09 Aranet4  Temperature (°C) [09C09],09C0F Aranet4  Temperature (°C) [09C0F],09C00 Aranet4  Humidity (%) [09C00],09C05 Aranet4  Humidity (%) [09C05],09C09 Aranet4  Humidity (%) [09C09],09C0F Aranet4  Humidity (%) [09C0F],09C00 Aranet4  Pressure (hPa) [09C00],09C05 Aranet4  Pressure (hPa) [09C05],09C09 Aranet4  Pressure (hPa) [09C09],09C0F Aranet4  Pressure (hPa) [09C0F],09C00 Aranet4  CO₂ (ppm) [09C00],09C05 Aranet4  CO₂ (ppm) [09C05],09C09 Aranet4  CO₂ (ppm) [09C09],09C0F Aranet4  CO₂ (ppm) [09C0F],0D697 PM  PM1 (µg/m³) [0D697],0D699 PM  PM1 (µg/m³) [0D699],0D6A0 PM  PM1 (µg/m³) [0D6A0],0D6A3 PM  PM1 (µg/m³) [0D6A3],0D697 PM  PM2.5 (µg/m³) [0D697],0D699 PM  PM2.5 (µg/m³) [0D699],0D6A0 PM  PM2.5 (µg/m³) [0D6A0],0D6A3 PM  PM2.5 (µg/m³) [0D6A3],0D697 PM  PM10 (µg/m³) [0D697],0D699 PM  PM10 (µg/m³) [0D699],0D6A0 PM  PM10 (µg/m³) [0D6A0],0D6A3 PM  PM10 (µg/m³) [0D6A3],0195C Weight  Weight (kg) [0195C],01960 Weight  Weight (kg) [01960],01966 Weight  Weight (kg) [01966],019A0 Weight  Weight (kg) [019A0]
2026-05-22 00:07:21,,,23.45,,,,56.0,,,,1018,,,,489,,,,,,,,,,,,,,,,,
2026-05-22 00:07:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:07:34,,22.65,,,,59.0,,,,1019,,,,453,,,,,,,,,,,,,,,,,,
2026-05-22 00:07:36,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:07:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:07:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:08:03,,,,21.95,,,,58.0,,,,1019,,,,428,,,,,,,,,,,,,,,,
2026-05-22 00:08:09,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:08:11,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:08:12,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:08:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:08:17,22.75,,,,53.0,,,,1019,,,,462,,,,,,,,,,,,,,,,,,,
2026-05-22 00:08:18,,,23.40,,,,56.0,,,,1018,,,,491,,,,,,,,,,,,,,,,,
2026-05-22 00:08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:08:35,,22.65,,,,59.0,,,,1019,,,,452,,,,,,,,,,,,,,,,,,
2026-05-22 00:08:39,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:08:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:08:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:09:05,,,,21.95,,,,58.0,,,,1019,,,,449,,,,,,,,,,,,,,,,
2026-05-22 00:09:11,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:09:14,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:09:16,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:09:18,22.80,,,,53.0,,,,1019,,,,472,,,,,,,,,,,,,,,,,,-0.162,
2026-05-22 00:09:19,,,23.40,,,,56.0,,,,1018,,,,483,,,,,,,,,,,,,,,,,
2026-05-22 00:09:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:09:34,,22.70,,,,59.0,,,,1019,,,,462,,,,,,,,,,,,,,,,,,
2026-05-22 00:09:43,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:09:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,
2026-05-22 00:09:49,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:09:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038
2026-05-22 00:10:04,,,,21.95,,,,58.0,,,,1019,,,,434,,,,,,,,,,,,,,,,
2026-05-22 00:10:13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:10:17,22.80,,,,53.0,,,,1019,,,,481,,,,,,,0,,,,0,,,,0,,,-0.161,
2026-05-22 00:10:18,,,23.40,,,,56.0,,,,1018,,,,490,,,,,,,,,,,,,,,,,
2026-05-22 00:10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:10:36,,22.65,,,,59.0,,,,1019,,,,454,,,,,,,,,,,,,,,,,,
2026-05-22 00:10:44,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0.176,,
2026-05-22 00:10:50,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:10:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:11:04,,,,21.95,,,,58.0,,,,1019,,,,439,,,,,,,,,,,,,,,,
2026-05-22 00:11:15,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:11:16,22.80,,,,52.0,,,,1018,,,,450,,,,,,,,,,,,,,,,,,,
2026-05-22 00:11:18,,,23.40,,,,56.0,,,,1018,,,,477,,,,,0,,,,0,,,,0,,,-0.162,
2026-05-22 00:11:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,
2026-05-22 00:11:34,,22.65,,,,59.0,,,,1019,,,,456,,,,,,,,,,,,,,,,,,
2026-05-22 00:11:47,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,
2026-05-22 00:11:53,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,
2026-05-22 00:11:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.039
2026-05-22 00:12:04,,,,21.95,,,,58.0,,,,1019,,,,441,,,,,,,,,,,,,,,,
2026-05-22 00:12:18,22.80,,,,53.0,,,,1018,,,,478,,,,,,,,,,,,,,,,,,,
2026-05-22 00:12:19,,,23.40,,,,56.0,,,,1018,,,,486,,,,,,,,,,,,,,,,-0.161,
2026-05-22 00:12:20,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,
2026-05-22 00:12:21,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,
2026-05-22 00:12:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.222,,,
2026-05-22 00:12:36,,22.70,,,,59.0,,,,1019,,,,462,,,,,,,,,,,,,,,,,,
