timestamp,AS7343_405nm,AS7343_425nm,AS7343_450nm,AS7343_475nm,AS7343_515nm,AS7343_550nm,AS7343_555nm,AS7343_600nm,AS7343_640nm,AS7343_690nm,AS7343_745nm,AS7343_855nm,AS7343_visible
2026-05-24 00:12:08.613,188.059,1172.356,2666.478,7746.768,2232.617,1976.023,2377.659,1587.405,1672.219,579.473,878.687,0.0,10370.631
2026-05-24 00:12:18.631,191.434,1178.531,2676.724,7790.077,2246.421,1995.963,2388.403,1595.907,1680.971,586.508,901.998,0.0,10450.652
2026-05-24 00:12:28.650,187.619,1172.356,2673.688,7750.992,2238.24,1974.564,2385.243,1593.406,1672.705,579.033,876.961,0.0,10406.373
2026-05-24 00:12:38.669,189.38,1179.481,2661.166,7792.19,2248.977,1984.777,2373.235,1584.238,1681.457,582.111,888.184,0.0,10422.378
2026-05-24 00:12:48.688,188.939,1185.182,2653.956,7815.43,2256.645,1983.318,2366.705,1579.571,1686.806,581.671,885.594,0.0,10428.513
2026-05-24 00:12:58.706,190.113,1179.481,2666.099,7787.966,2248.721,1991.1,2378.081,1588.405,1680.485,584.31,893.364,0.0,10443.983
2026-05-24 00:13:08.725,190.7,1175.681,2666.858,7770.007,2243.609,1993.531,2379.134,1589.239,1676.838,585.189,895.091,0.0,10443.449
2026-05-24 00:13:18.744,191.434,1181.382,2652.058,7799.585,2251.789,1998.395,2365.652,1579.737,1682.916,587.095,901.134,0.0,10442.917
2026-05-24 00:13:28.762,190.7,1173.781,2665.34,7760.5,2241.052,1992.559,2378.291,1588.572,1674.893,585.336,897.681,0.0,10434.114
2026-05-24 00:13:38.782,190.113,1176.631,2660.786,7770.007,2243.353,1988.181,2373.446,1585.238,1676.838,583.723,892.501,0.0,10423.979
2026-05-24 00:13:48.800,189.967,1175.206,2655.853,7765.782,2243.097,1988.181,2369.654,1581.238,1676.352,583.577,892.501,0.0,10421.578
2026-05-24 00:13:58.819,190.994,1184.232,2649.402,7802.755,2253.067,1991.586,2363.966,1577.737,1684.132,585.043,898.544,0.0,10426.913
2026-05-24 00:14:08.868,190.407,1172.831,2663.443,7755.218,2239.518,1991.586,2376.395,1585.572,1673.434,584.749,895.091,0.0,10430.913
2026-05-24 00:14:18.887,190.7,1178.056,2666.099,7781.628,2246.676,1991.586,2378.713,1588.905,1679.269,585.043,896.818,0.0,10442.116
2026-05-24 00:14:28.906,189.086,1183.757,2647.125,7812.261,2255.367,1983.318,2361.228,1576.903,1685.591,581.965,885.594,0.0,10420.244
2026-05-24 00:14:38.925,188.352,1187.557,2659.268,7828.107,2260.224,1979.427,2371.55,1584.238,1689.481,580.352,882.141,0.0,10436.781
2026-05-24 00:14:48.943,188.793,1179.956,2649.402,7791.134,2249.488,1981.859,2363.334,1578.57,1681.457,581.525,884.731,0.0,10412.242
2026-05-24 00:14:58.962,188.939,1177.581,2660.786,7783.739,2247.698,1983.804,2374.289,1585.572,1679.999,581.671,885.594,0.0,10429.046
2026-05-24 00:15:08.981,190.7,1176.631,2666.099,7774.233,2245.398,1992.072,2379.134,1589.239,1678.297,584.896,896.818,0.0,10441.05
2026-05-24 00:15:18.999,189.233,1177.581,2660.407,7780.571,2246.165,1983.318,2373.657,1585.572,1679.026,581.818,886.458,0.0,10422.911
2026-05-24 00:15:29.019,189.086,1183.282,2650.92,7803.81,2252.811,1983.318,2364.599,1579.237,1684.132,581.525,886.458,0.0,10419.977
2026-05-24 00:15:39.037,191.141,1178.056,2647.884,7778.458,2245.654,1994.018,2362.492,1577.57,1678.783,585.629,900.271,0.0,10419.178
2026-05-24 00:15:49.056,189.526,1175.206,2661.545,7765.782,2242.586,1985.75,2374.71,1586.238,1676.109,582.697,889.911,0.0,10424.246
2026-05-24 00:15:59.075,189.38,1175.206,2663.063,7771.064,2243.609,1985.75,2376.817,1587.572,1677.081,582.697,888.184,0.0,10430.114
2026-05-24 00:16:09.094,189.086,1182.807,2660.786,7805.924,2254.089,1980.886,2374.289,1585.738,1684.618,581.378,885.594,0.0,10432.246
2026-05-24 00:16:19.112,190.26,1182.332,2652.058,7804.867,2253.578,1990.613,2365.862,1580.071,1684.861,584.456,894.228,0.0,10437.582
2026-05-24 00:16:29.131,189.086,1186.132,2650.92,7817.543,2256.645,1982.832,2364.809,1579.737,1687.049,581.671,886.458,0.0,10424.779
2026-05-24 00:16:39.150,190.847,1175.681,2667.617,7772.12,2244.12,1994.018,2380.609,1590.072,1677.568,585.629,898.544,0.0,10445.851
2026-05-24 00:16:49.168,190.554,1180.907,2651.3,7797.472,2252.3,1992.559,2365.23,1579.904,1683.403,585.043,895.954,0.0,10436.515
2026-05-24 00:16:59.190,189.82,1179.956,2661.925,7789.021,2248.721,1985.75,2375.553,1586.738,1680.971,583.284,892.501,0.0,10430.114
2026-05-24 00:17:09.209,189.82,1176.156,2658.51,7775.289,2245.398,1988.668,2371.55,1582.905,1678.297,583.723,891.638,0.0,10429.313
2026-05-24 00:17:19.228,189.38,1174.256,2660.786,7762.612,2241.819,1984.777,2374.289,1586.238,1675.379,582.258,888.184,0.0,10422.912
2026-05-24 00:17:29.247,188.352,1185.657,2659.648,7818.599,2257.412,1977.482,2373.025,1585.072,1687.293,579.766,881.278,0.0,10429.58
2026-05-24 00:17:39.265,215.796,1274.016,2796.637,8244.312,2365.287,2132.627,2495.628,1670.086,1776.521,638.687,1062.579,0.0,10843.555
2026-05-24 00:17:49.284,208.605,1297.293,2736.301,8303.469,2382.159,2085.451,2440.225,1631.579,1787.705,622.125,1013.369,0.0,10671.776
2026-05-24 00:17:59.303,208.751,1252.164,2712.015,8137.621,2336.401,2092.26,2418.738,1617.577,1755.855,624.47,1015.959,0.0,10656.305
2026-05-24 00:18:09.321,219.024,1297.768,2855.834,8370.019,2400.564,2155.485,2554.823,1710.592,1800.348,646.016,1085.026,0.0,11020.666
2026-05-24 00:18:19.341,213.594,1283.042,2803.847,8305.582,2381.391,2122.9,2507.003,1677.753,1788.434,635.17,1048.766,0.0,10899.569
2026-05-24 00:18:29.359,215.209,1262.615,2811.057,8224.242,2356.596,2132.627,2514.166,1682.588,1772.631,637.808,1059.126,0.0,10890.232
2026-05-24 00:18:39.378,211.246,1251.689,2782.976,8164.03,2339.213,2110.255,2487.412,1665.251,1762.176,630.479,1032.362,0.0,10789.673
2026-05-24 00:18:49.397,227.829,1338.622,2889.227,8590.799,2453.99,2202.661,2583.472,1731.262,1845.813,664.923,1143.734,0.0,11151.634
2026-05-24 00:18:59.416,210.219,1266.415,2805.744,8229.523,2353.528,2099.556,2506.161,1676.753,1774.819,627.695,1026.319,0.0,10787.807
2026-05-24 00:19:09.434,214.181,1275.916,2834.204,8262.271,2357.107,2119.496,2528.701,1696.09,1779.682,635.023,1051.356,0.0,10813.146
2026-05-24 00:19:19.453,210.659,1282.092,2859.629,8290.793,2366.31,2099.556,2554.823,1712.759,1787.219,628.134,1028.046,0.0,10834.484
2026-05-24 00:19:29.472,203.175,1234.587,2790.186,7998.181,2279.652,2050.92,2478.564,1664.085,1724.005,610.986,977.972,0.0,10474.393
2026-05-24 00:19:39.532,183.803,1162.855,2600.83,7670.709,2197.851,1944.896,2306.878,1544.065,1653.984,568.773,850.197,0.0,10091.892
2026-05-24 00:19:49.551,182.335,1151.454,2632.326,7628.455,2186.859,1934.197,2339.741,1565.902,1646.933,567.601,841.564,0.0,10107.363
2026-05-24 00:19:59.570,194.223,1201.809,2697.215,7915.784,2276.584,2012.985,2406.309,1608.409,1705.527,592.664,920.128,0.0,10513.867
2026-05-24 00:20:09.588,186.885,1174.256,2661.545,7757.33,2231.338,1968.241,2370.286,1584.738,1673.921,577.128,870.917,0.0,10320.752
2026-05-24 00:20:19.608,188.059,1165.705,2659.648,7714.02,2220.346,1975.05,2369.022,1584.071,1665.168,579.913,878.687,0.0,10324.486
2026-05-24 00:20:29.626,192.902,1186.607,2679.76,7819.656,2252.3,2002.286,2389.667,1596.24,1687.536,589.293,911.494,0.0,10443.449
2026-05-24 00:20:39.645,192.902,1185.182,2669.894,7816.488,2253.067,2003.745,2380.187,1589.239,1685.834,589.586,911.494,0.0,10447.984
2026-05-24 00:20:49.664,189.967,1186.132,2664.581,7831.276,2259.457,1989.641,2376.817,1588.072,1688.995,583.577,892.501,0.0,10452.519
2026-05-24 00:20:59.682,189.967,1187.082,2663.063,7822.825,2257.412,1987.695,2375.342,1586.905,1687.779,583.43,891.638,0.0,10439.982
2026-05-24 00:21:09.702,188.499,1188.507,2659.268,7831.276,2260.991,1978.941,2371.55,1584.238,1690.21,580.059,882.141,0.0,10432.247
2026-05-24 00:21:19.720,191.141,1178.056,2655.094,7783.739,2247.443,1995.963,2368.18,1581.738,1679.999,586.215,900.271,0.0,10434.647
2026-05-24 00:21:29.739,190.113,1183.757,2652.058,7811.205,2254.856,1989.154,2365.23,1578.404,1685.834,583.87,892.501,0.0,10432.246
2026-05-24 00:21:39.758,188.793,1179.481,2656.233,7794.303,2251.277,1983.318,2369.022,1582.404,1682.43,581.671,883.868,0.0,10427.445
2026-05-24 00:21:49.777,189.673,1176.156,2664.961,7773.176,2244.375,1986.236,2377.449,1588.072,1677.568,582.844,889.911,0.0,10429.848
2026-05-24 00:21:59.795,189.82,1175.681,2666.099,7772.12,2244.375,1987.695,2378.291,1588.739,1677.324,583.284,890.774,0.0,10434.647
2026-05-24 00:22:09.815,189.086,1184.707,2652.438,7808.036,2254.345,1982.832,2365.652,1579.904,1684.618,581.525,886.458,0.0,10420.777
2026-05-24 00:22:19.833,188.939,1178.056,2656.992,7782.683,2247.187,1983.318,2370.286,1583.238,1679.756,581.671,885.594,0.0,10420.244
2026-05-24 00:22:29.851,191.581,1179.956,2651.679,7791.134,2249.488,1998.395,2365.441,1579.737,1681.214,587.241,903.725,0.0,10434.915
2026-05-24 00:22:39.871,189.526,1176.156,2662.304,7773.176,2244.631,1985.75,2375.763,1586.905,1677.568,582.697,889.048,0.0,10425.845
2026-05-24 00:22:49.889,191.434,1179.956,2651.3,7793.247,2250.255,1997.908,2365.23,1579.571,1681.944,587.095,901.998,0.0,10439.182
2026-05-24 00:22:59.908,189.233,1187.557,2655.853,7829.164,2260.48,1983.804,2369.654,1582.571,1689.481,581.965,887.321,0.0,10437.849
2026-05-24 00:23:09.927,190.407,1176.156,2660.027,7778.458,2246.421,1992.559,2373.025,1585.072,1679.026,585.043,895.954,0.0,10439.448
2026-05-24 00:23:19.945,188.499,1188.507,2656.612,7831.276,2260.991,1977.968,2369.654,1582.905,1690.21,580.352,882.141,0.0,10432.514
2026-05-24 00:23:29.964,190.994,1181.857,2651.679,7802.755,2252.811,1994.018,2364.809,1579.571,1683.889,585.629,898.544,0.0,10436.248
2026-05-24 00:23:39.983,191.287,1174.731,2667.617,7765.782,2242.586,1994.99,2380.819,1588.739,1676.109,586.362,900.271,0.0,10444.783
2026-05-24 00:23:50.002,188.939,1185.657,2647.125,7817.543,2257.157,1982.832,2361.017,1575.903,1687.049,581.525,886.458,0.0,10422.377
2026-05-24 00:24:00.021,189.38,1183.757,2657.751,7805.924,2254.089,1984.777,2371.339,1583.905,1684.861,582.258,887.321,0.0,10434.647
2026-05-24 00:24:10.039,189.526,1178.056,2664.581,7784.796,2248.21,1987.209,2377.87,1588.239,1680.485,583.137,889.911,0.0,10439.982
2026-05-24 00:24:20.057,191.581,1181.857,2652.058,7799.585,2252.3,1997.908,2365.652,1580.237,1683.403,587.241,903.725,0.0,10441.05
2026-05-24 00:24:30.077,190.26,1174.731,2640.674,7768.95,2243.609,1991.1,2354.908,1572.903,1677.081,584.456,894.228,0.0,10409.041
2026-05-24 00:24:40.095,191.141,1180.432,2667.237,7791.134,2249.232,1993.531,2380.187,1589.906,1681.457,585.775,900.271,0.0,10448.785
2026-05-24 00:24:50.113,188.793,1185.657,2649.402,7817.543,2256.645,1980.886,2363.334,1578.404,1687.049,581.232,884.731,0.0,10421.312
2026-05-24 00:25:00.133,189.967,1176.631,2664.581,7773.176,2244.12,1988.668,2378.081,1588.572,1677.324,583.87,892.501,0.0,10433.581
2026-05-24 00:25:10.216,190.113,1176.156,2666.478,7775.289,2245.398,1990.127,2379.555,1589.572,1678.297,584.163,893.364,0.0,10440.249
2026-05-24 00:25:20.234,189.967,1184.707,2652.058,7814.374,2256.39,1988.181,2365.652,1580.071,1686.806,583.723,892.501,0.0,10435.182
2026-05-24 00:25:30.253,190.994,1182.332,2650.541,7805.924,2253.578,1994.99,2364.809,1579.404,1684.618,586.069,899.408,0.0,10437.581
2026-05-24 00:25:40.272,188.939,1181.857,2655.474,7798.529,2251.789,1982.345,2369.233,1582.571,1683.403,581.525,885.594,0.0,10424.246
2026-05-24 00:25:50.290,188.793,1185.657,2645.987,7819.656,2257.924,1982.345,2360.596,1576.903,1687.536,581.378,884.731,0.0,10422.911
2026-05-24 00:26:00.309,190.407,1182.807,2649.402,7803.81,2253.578,1990.613,2363.545,1578.904,1684.132,584.31,895.091,0.0,10430.38
2026-05-24 00:26:10.328,189.233,1180.432,2657.371,7791.134,2249.999,1983.804,2371.55,1584.238,1681.701,582.111,887.321,0.0,10428.779
2026-05-24 00:26:20.346,188.793,1184.232,2650.161,7810.148,2255.112,1980.886,2364.599,1579.237,1685.591,580.792,883.868,0.0,10422.911
2026-05-24 00:26:30.365,219.758,1294.918,2822.061,8346.78,2394.173,2154.999,2521.539,1688.589,1797.187,647.042,1089.343,0.0,10959.05
2026-05-24 00:26:40.384,227.536,1330.546,2891.884,8498.896,2435.585,2198.771,2586.0,1732.096,1828.308,662.725,1140.28,0.0,11115.892
2026-05-24 00:26:50.402,231.352,1322.946,2839.896,8501.009,2429.194,2225.034,2534.178,1697.423,1823.202,671.373,1166.18,0.0,11085.217
2026-05-24 00:27:00.421,220.932,1293.493,2848.244,8351.006,2396.474,2163.267,2547.871,1704.424,1797.187,649.68,1097.113,0.0,11021.2
2026-05-24 00:27:10.439,220.345,1313.445,2730.229,8434.458,2416.924,2157.917,2432.852,1626.578,1815.179,647.921,1093.66,0.0,10852.891
2026-05-24 00:27:20.459,212.42,1284.467,2822.82,8319.314,2385.737,2114.632,2523.645,1689.089,1791.838,631.799,1040.996,0.0,10906.771
